Date,Test Tool Tip,Calories,Total Daily Calories
9/6/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1665.21,1665.21
9/7/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1705.42,1705.42
9/8/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1703.76,1703.76
9/9/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1594.88,1594.88
9/10/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1694.5,1694.5
9/11/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1662.61,1662.61
9/12/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1498.02,1498.02
9/13/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1530.37,1530.37
9/14/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1702.45,1702.45
9/15/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1630.51,1630.51
9/16/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1492.93,1492.93
9/17/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1581.99,1581.99
9/18/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1412.42,1412.42
9/19/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1285.2,1285.2
9/20/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1355.66,1355.66
9/21/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1625.26,1625.26
9/22/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1132.13,1132.13
9/23/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1127.36,1127.36
9/24/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1470.36,1470.36
9/25/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1518.83,1518.83
9/26/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1506.33,1506.33
9/27/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1436.32,1436.32
9/28/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1635.59,1635.59
9/29/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1657.41,1657.41
9/30/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1306.69,1306.69
10/1/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1659.79,1659.79
10/2/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1658.39,1658.39
10/3/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1671.59,1671.59
10/4/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1596.49,1596.49
10/5/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1652.43,1652.43
10/6/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1653.56,1653.56
